SN268: c:0.000228774173064 t0:0.000126361156814 x0:0.0023874179462 x1:6.88473055089e-05 
SN269: c:0.165924705084 t0:0.283221709898 x0:0.000169702991837 x1:0.365671112455 
SN270: c:0.108937924407 t0:0.116717684887 x0:0.00663376481547 x1:0.111849018322 
SN271: c:0.0408667803247 t0:0.0466477219538 x0:3.71834245059e-05 x1:0.0426522999279 
SN272: c:0.0615874239932 t0:0.0663951601177 x0:1.01113897987e-05 x1:0.0568099572508 
SN273: c:0.0153198692575 t0:0.0154566264159 x0:2.05047192182e-05 x1:0.006641264506 
SN274: c:0.0476256122184 t0:0.0496069381587 x0:3.61574440865e-05 x1:0.0558697110515 
SN275: c:0.0207724482703 t0:0.0252582009087 x0:8.22434202588e-05 x1:0.0561520818471 
SN276: c:0 t0:0 x0:0 x1:0
SN277: c:0.0563572510964 t0:0.0593363273381 x0:5.67307345957e-05 x1:0.0776035977851 
SN278: c:0 t0:0 x0:0 x1:0
SN279: c:0.0435454182848 t0:0.0652659690023 x0:7.44046056845e-06 x1:0.189420965434 
SN280: c:0.056096266672 t0:0.0445479025744 x0:3.31130034841e-05 x1:0.0804633351334 
SN281: c:0.0521364326131 t0:0.0531516036197 x0:2.58373241153e-05 x1:0.0717922495118 
SN282: c:0.0416818540994 t0:0.11226167835 x0:8.52457678303e-05 x1:0.065417564666 
SN283: c:0.0755541876016 t0:0.124640166228 x0:641250694259.0 x1:0.0341020931158 
SN284: c:0.0117208468343 t0:0.0122567434734 x0:0.000436938116066 x1:0.0186381002826 
SN285: c:0.0748482028022 t0:0.0676993979297 x0:8.28599857048e-06 x1:0.158406366507 
SN286: c:0.0136460507784 t0:0.0171744814213 x0:0.000329929754162 x1:0.0323412780627 
SN287: c:0.0517449232117 t0:0.0514215191106 x0:3.0128953217e-05 x1:0.0975997877409 
SN288: c:0.328058305691 t0:0.190715776257 x0:0.0210978708787 x1:0.279898019324 
SN289: c:0.0347975172212 t0:0.0309108685005 x0:3.63465426435e-05 x1:0.0300072776635 
SN290: c:0 t0:0 x0:0 x1:0
SN291: c:0.0533628459022 t0:0.058722139064 x0:3.34151491304e-05 x1:0.0481743673001 
SN292: c:0.016243933576 t0:0.0146636687113 x0:9.492017002e-05 x1:0.011914384701 
SN293: c:0.0560054676251 t0:0.0636052250984 x0:2.3003146574e-05 x1:0.0575027144032 
SN294: c:0.0660958762398 t0:0.0641948748753 x0:2.47784000432e-05 x1:0.0993734200226 
SN295: c:0.0299647570002 t0:0.0318098711529 x0:0.00938344869301 x1:0.0451174175174 
SN296: c:0 t0:0 x0:0 x1:0
SN297: c:0.0524218448481 t0:0.0574343156263 x0:3.09834089438e-05 x1:0.0528533053231 
SN298: c:0.0302828561328 t0:0.0238410963277 x0:8.2145701463e-05 x1:0.0223577729012 
SN299: c:0.0685644652039 t0:0.0651315138809 x0:1.19972020317e-05 x1:0.123573472937 
SN300: c:0.318252358298 t0:0.854283654666 x0:0.000107822684312 x1:1.00345111076 
SN301: c:0.0633376605081 t0:0.0630511613693 x0:2.10941137293e-05 x1:0.0763662695102 
SN302: c:0 t0:0 x0:0 x1:0
SN303: c:0.0393212226369 t0:0.0511557425118 x0:1.68958080441e-05 x1:0.17571014684 
