SN259: c:0.07050492813315733 t0:8.397323273059595 x0:0.00029665382685127036 x1:0.8119917902563947 
SN260: c:0.05632848614071598 t0:0.9425425700785048 x0:2.2070363619294512e-05 x1:1.2875631923178432 
SN261: c:0.05518414437148245 t0:3.0524525327348395 x0:2.9812092800961037e-05 x1:0.8175012473060165 
SN262: c:0.016843486001917183 t0:0.7032733179736634 x0:8.084597389643146e-06 x1:0.4608081732622632 
SN263: c:0.08576988958326622 t0:1.876750703587935 x0:0.00010420655237771786 x1:0.7087626795422428 
SN264: c:0.06960215964133576 t0:2.8726917918775206 x0:6.334147809795061e-05 x1:0.7886231202912016 
SN265: c:0.05575428479571576 t0:1.9770851867139863 x0:3.497839164165189e-05 x1:0.8237521898792105 
SN266: c:0 t0:0 x0:0 x1:0 
SN267: c:0 t0:0 x0:0 x1:0 
SN268: c:0.04115575015991758 t0:2.6319893065319824 x0:3.323287257647683e-05 x1:0.7869798352960335 
SN269: c:0.06116676024429207 t0:1.6938437722333173 x0:1.849680576096975e-05 x1:0.614545402913356 
SN270: c:0 t0:0 x0:0 x1:0 
SN271: c:0.02893189918424151 t0:1.3595095420989547 x0:5.223541100584166e-05 x1:0.5961366231930466 
SN272: c:1.6631923611314217 t0:8.90422218326259 x0:0.017094051810582014 x1:0.9746105816847006 
SN273: c:0.011907366242893095 t0:0.16193132284328998 x0:7.17063460272376e-05 x1:0.22189898833714033 
SN274: c:0.02604797905285699 t0:3.1301373915476947 x0:3.734055168466051e-05 x1:0.6604200316865154 
SN275: c:0.07800855099624267 t0:6.283094013662147 x0:8.513994292892353e-05 x1:0.6787081032533177 
SN276: c:0.0781188263025722 t0:1.0947370389998077 x0:1.641233833344903e-05 x1:0.4823937339492364 
SN277: c:0.04806170757620387 t0:2.0004785026183773 x0:3.252739162774512e-05 x1:0.5586952642558495 
SN278: c:0.13445844417424926 t0:27.361392800953304 x0:0.05783265468578042 x1:2.9085162473631163 
SN279: c:0.02790470903439632 t0:0.4009518404936304 x0:3.1078783567434776e-05 x1:0.42365986791288296 
